SRR072233.505	386nt	4.1e-29	83	12	94	+	95.18%	NC_000915.1	701432	701511
SRR072233.205	401nt	1.5e-177	340	10	349	+	98.83%	NC_000915.1	854413	854752
SRR072233.313	527nt	1.8e-248	476	1	476	+	98.96%	NC_000915.1	139655	140131
SRR072233.321	464nt	5.4e-226	411	1	411	+	99.76%	NC_000915.1	1266341	1266752
SRR072233.332	482nt	4.5e-208	426	426	1	-	97.20%	NC_000915.1	200052	200477
SRR072233.429	341nt	1.3e-151	289	7	295	+	99.31%	NC_000915.1	1087742	1088030
SRR072233.437	506nt	4.7e-115	243	247	5	-	97.53%	NC_000915.1	1652593	1652832
SRR072233.613	199nt	6.4e-63	143	143	1	-	97.26%	NC_000915.1	24001	24146
SRR072233.486	498nt	3.8e-190	395	440	46	-	97.99%	NC_000915.1	402564	402958
SRR072233.237	459nt	1.1e-37	85	87	3	-	97.65%	NC_000915.1	385638	385722
SRR072233.497	465nt	2.3e-46	110	142	33	-	97.27%	NC_000915.1	1493410	1493516
SRR072233.744	603nt	9.8e-106	252	1	252	+	96.08%	NC_000915.1	1107943	1108193
SRR072233.169	399nt	1.3e-36	95	1	95	+	96.94%	NC_000915.1	316764	316861
SRR072233.914	376nt	1.5e-54	147	1	147	+	95.30%	NC_000915.1	1531887	1532032
SRR072233.778	103nt	1.1e-25	69	1	69	+	97.18%	NC_000915.1	753892	753962
SRR072233.182	532nt	5.0e-208	411	411	1	-	98.31%	NC_000915.1	282692	283102
SRR072233.932	551nt	2.7e-247	473	1	473	+	98.52%	NC_000915.1	1359277	1359747
SRR072233.941	368nt	1.2e-155	322	1	322	+	97.84%	NC_000915.1	1054291	1054611
SRR072233.796	465nt	2.7e-94	183	16	198	+	99.46%	NC_000915.1	706095	706278
SRR072233.1224	362nt	1.0e-122	266	11	276	+	97.41%	NC_000915.1	563679	563945
SRR072233.1121	631nt	1.2e-71	173	173	1	-	96.57%	NC_000915.1	632025	632195
SRR072233.1403	478nt	2.1e-225	423	423	1	-	99.29%	NC_000915.1	1032992	1033415
SRR072233.1418	463nt	5.4e-226	411	1	411	+	99.76%	NC_000915.1	1266341	1266752
SRR072233.1246	541nt	1.2e-52	105	105	1	-	100.00%	NC_000915.1	694896	695000
SRR072233.1260	413nt	3.1e-164	318	318	1	-	99.06%	NC_000915.1	508608	508924
SRR072233.986	431nt	7.5e-210	383	1	383	+	99.74%	NC_000915.1	794885	795268
SRR072233.1042	499nt	2.1e-147	422	422	1	-	90.63%	NC_000915.1	1143415	1143834
SRR072233.1046	494nt	2.3e-236	442	442	1	-	99.32%	NC_000915.1	1371940	1372382
SRR072233.1526	548nt	2.0e-32	91	310	400	+	92.31%	NC_000915.1	775019	775109
SRR072233.1608	502nt	5.6e-241	443	1	443	+	99.55%	NC_000915.1	1638000	1638444
SRR072233.1526	548nt	3.1e-269	501	501	1	-	99.01%	NC_000915.1	780129	780631
SRR072233.893	519nt	4.1e-242	454	9	462	+	99.12%	NC_000915.1	1202389	1202845
SRR072233.1527	459nt	7.6e-225	410	410	1	-	99.76%	NC_000915.1	1036493	1036901
SRR072233.1281	819nt	3.3e-136	343	343	1	-	92.82%	NC_000915.1	1377476	1377821
SRR072233.1284	562nt	2.6e-277	508	1	508	+	99.61%	NC_000915.1	1292553	1293058
SRR072233.1167	542nt	1.4e-260	491	491	1	-	98.98%	NC_000915.1	822669	823158
SRR072233.1812	517nt	8.2e-147	289	289	1	-	98.96%	NC_000915.1	1451718	1452003
SRR072233.1389	388nt	6.5e-24	68	68	1	-	95.77%	NC_000915.1	21735	21805
SRR072233.1828	427nt	1.8e-199	377	377	1	-	99.21%	NC_000915.1	1545257	1545636
SRR072233.1169	449nt	8.2e-61	134	134	1	-	97.04%	NC_000915.1	975436	975570
SRR072233.1730	558nt	2.3e-147	309	309	1	-	97.74%	NC_000915.1	1285061	1285366
SRR072233.1063	490nt	1.3e-178	441	1	441	+	92.78%	NC_000915.1	1337126	1337564
SRR072233.1927	461nt	2.9e-224	408	1	408	+	99.76%	NC_000915.1	1572564	1572972
SRR072233.1084	393nt	8.9e-12	46	131	176	+	91.30%	NC_000915.1	321425	321470
SRR072233.1642	546nt	9.9e-262	501	1	501	+	99.00%	NC_000915.1	812439	812936
SRR072233.1763	419nt	5.4e-155	288	364	77	-	99.65%	NC_000915.1	1486565	1486853
SRR072233.1090	460nt	9.0e-165	356	356	1	-	96.10%	NC_000915.1	1148032	1148386
SRR072233.1471	613nt	1.3e-149	292	1	292	+	98.98%	NC_000915.1	1123896	1124188
SRR072233.1853	410nt	8.6e-42	102	1	102	+	97.09%	NC_000915.1	104808	104909
SRR072233.1956	502nt	2.5e-247	455	455	1	-	99.56%	NC_000915.1	592552	593006
SRR072233.2013	503nt	7.3e-244	449	1	449	+	99.56%	NC_000915.1	1078121	1078569
SRR072233.1592	378nt	7.1e-180	332	332	1	-	99.40%	NC_000915.1	25864	26197
SRR072233.1100	863nt	1.3e-27	68	1	68	+	97.06%	NC_000915.1	1093532	1093599
SRR072233.1476	508nt	4.9e-260	484	484	1	-	99.18%	NC_000915.1	1093467	1093952
SRR072233.1481	439nt	8.8e-191	362	362	1	-	99.18%	NC_000915.1	998784	999148
SRR072233.2029	801nt	2.5e-40	90	1	90	+	98.90%	NC_000915.1	556893	556983
SRR072233.1492	598nt	5.9e-286	530	530	1	-	99.43%	NC_000915.1	313376	313902
SRR072233.2411	520nt	3.7e-153	300	388	89	-	99.00%	NC_000915.1	1287105	1287401
SRR072233.2086	529nt	2.0e-259	479	1	479	+	99.38%	NC_000915.1	171722	172200
SRR072233.2448	499nt	4.6e-115	231	1	231	+	98.28%	NC_000915.1	1145419	1145651
SRR072233.2240	542nt	2.0e-259	493	493	1	-	98.99%	NC_000915.1	27705	28195
SRR072233.2557	461nt	3.5e-190	361	50	410	+	99.18%	NC_000915.1	1330618	1330981
SRR072233.2607	538nt	8.8e-266	486	486	1	-	99.59%	NC_000915.1	970359	970846
SRR072233.2273	559nt	1.4e-74	161	161	1	-	97.55%	NC_000915.1	397006	397168
SRR072233.2581	555nt	1.3e-145	297	1	297	+	98.34%	NC_000915.1	646271	646570
SRR072233.2584	470nt	9.8e-176	354	1	354	+	97.74%	NC_000915.1	930758	931108
SRR072233.2329	416nt	4.9e-25	81	1	81	+	94.05%	NC_000915.1	1498505	1498588
SRR072233.2594	528nt	1.8e-21	69	1	69	+	95.83%	NC_000915.1	526773	526844
SRR072233.2595	758nt	7.3e-74	178	6	183	+	96.67%	NC_000915.1	562191	562367
SRR072233.2803	694nt	7.1e-18	63	63	1	-	90.48%	NC_000915.1	1209007	1209069
SRR072233.2803	694nt	7.1e-18	63	63	1	-	90.48%	NC_000915.1	1512560	1512622
SRR072233.2335	892nt	8.6e-74	149	149	1	-	99.33%	NC_000915.1	316850	316997
SRR072233.2298	584nt	4.0e-127	260	260	1	-	98.47%	NC_000915.1	1537462	1537721
SRR072233.2179	590nt	8.4e-58	120	120	1	-	98.33%	NC_000915.1	283983	284102
SRR072233.2904	552nt	1.7e-200	401	401	1	-	98.27%	NC_000915.1	1306415	1306816
SRR072233.2349	546nt	1.9e-274	489	1	489	+	100.00%	NC_000915.1	1236411	1236899
SRR072233.2913	522nt	3.2e-265	473	473	1	-	100.00%	NC_000915.1	134297	134769
SRR072233.2351	404nt	6.6e-199	358	358	1	-	100.00%	NC_000915.1	1265338	1265695
SRR072233.2653	434nt	5.9e-73	166	166	1	-	97.06%	NC_000915.1	130365	130533
SRR072233.3001	374nt	7.6e-150	291	32	322	+	98.98%	NC_000915.1	52594	52887
SRR072233.2653	434nt	1.2e-18	62	144	83	-	93.55%	NC_000915.1	131791	131851
SRR072233.2653	434nt	5.7e-21	69	151	83	-	92.75%	NC_000915.1	1258741	1258808
SRR072233.2834	448nt	6.4e-151	306	88	393	+	98.39%	NC_000915.1	350954	351262
SRR072233.2735	523nt	2.1e-188	358	383	26	-	99.17%	NC_000915.1	582808	583168
SRR072233.2840	497nt	1.1e-145	305	322	18	-	98.05%	NC_000915.1	1483953	1484257
SRR072233.2936	502nt	2.1e-173	350	1	350	+	98.02%	NC_000915.1	1210626	1210974
SRR072233.3106	451nt	1.1e-130	259	259	1	-	98.46%	NC_000915.1	1522173	1522428
SRR072233.3114	579nt	8.5e-110	226	229	4	-	98.25%	NC_000915.1	1048151	1048377
SRR072233.3126	543nt	1.8e-144	409	409	1	-	91.39%	NC_000915.1	1536823	1537230
SRR072233.3308	485nt	5.1e-230	433	433	1	-	99.31%	NC_000915.1	653927	654356
SRR072233.3083	559nt	5.1e-156	321	1	321	+	98.14%	NC_000915.1	74466	74783
SRR072233.2783	361nt	2.4e-168	312	1	312	+	99.68%	NC_000915.1	683552	683862
SRR072233.3169	502nt	4.8e-234	445	445	1	-	99.11%	NC_000915.1	751006	751450
SRR072233.2968	397nt	3.0e-190	350	1	350	+	99.71%	NC_000915.1	1131481	1131829
SRR072233.3346	412nt	5.7e-32	104	1	104	+	92.38%	NC_000915.1	95452	95554
SRR072233.2384	549nt	3.1e-269	493	1	493	+	99.60%	NC_000915.1	1610160	1610652
SRR072233.2796	483nt	5.4e-241	431	1	431	+	100.00%	NC_000915.1	1194510	1194940
SRR072233.2983	616nt	6.2e-59	131	1	131	+	97.73%	NC_000915.1	598641	598770
SRR072233.3227	505nt	3.1e-239	463	1	463	+	98.71%	NC_000915.1	773653	774116
SRR072233.3229	439nt	7.9e-195	385	385	1	-	98.46%	NC_000915.1	580223	580610
SRR072233.2986	658nt	1.3e-30	79	95	17	-	97.53%	NC_000915.1	504640	504720
SRR072233.3243	781nt	8.0e-18	51	51	1	-	98.08%	NC_000915.1	390118	390169
SRR072233.3248	289nt	3.2e-40	120	1	120	+	93.44%	NC_000915.1	1431063	1431181
SRR072233.2673	491nt	1.9e-110	258	37	294	+	95.79%	NC_000915.1	1574362	1574618
SRR072233.2682	461nt	5.8e-36	102	102	1	-	94.12%	NC_000915.1	791015	791114
SRR072233.3393	497nt	2.8e-42	87	87	1	-	100.00%	NC_000915.1	1169620	1169706
SRR072233.3445	514nt	7.3e-125	243	1	243	+	99.18%	NC_000915.1	75052	75294
SRR072233.3525	474nt	2.5e-165	307	1	307	+	99.67%	NC_000915.1	229078	229383
SRR072233.3779	463nt	7.1e-28	62	62	1	-	100.00%	NC_000915.1	550489	550550
SRR072233.3784	454nt	1.2e-193	375	23	397	+	98.94%	NC_000915.1	871459	871833
SRR072233.3554	558nt	1.4e-74	161	213	53	-	98.17%	NC_000915.1	1190133	1190296
SRR072233.3796	560nt	5.5e-33	77	77	1	-	98.72%	NC_000915.1	393350	393427
SRR072233.3636	589nt	7.8e-21	93	177	269	+	91.49%	NC_000915.1	629157	629246
SRR072233.3649	462nt	4.7e-85	185	185	1	-	96.77%	NC_000915.1	1213502	1213685
SRR072233.4009	592nt	1.1e-45	93	1	93	+	100.00%	NC_000915.1	1290535	1290627
SRR072233.4010	499nt	3.9e-242	446	1	446	+	99.55%	NC_000915.1	171820	172265
SRR072233.3858	485nt	5.3e-215	430	1	430	+	97.92%	NC_000915.1	1202241	1202671
SRR072233.3653	484nt	2.6e-217	406	1	406	+	99.26%	NC_000915.1	696550	696955
SRR072233.3653	484nt	7.3e-69	139	283	145	-	98.56%	NC_000915.1	389932	390070
SRR072233.3665	493nt	5.3e-29	91	391	301	-	90.11%	NC_000915.1	1208124	1208214
SRR072233.4314	950nt	5.1e-98	190	190	1	-	99.48%	NC_000915.1	15424	15614
SRR072233.3672	397nt	7.0e-169	338	357	20	-	97.95%	NC_000915.1	867280	867617
SRR072233.4429	545nt	4.3e-82	173	1	173	+	98.27%	NC_000915.1	1611821	1611991
SRR072233.4175	558nt	4.6e-227	428	1	428	+	99.30%	NC_000915.1	505140	505564
SRR072233.4440	547nt	1.6e-148	284	232	515	+	98.95%	NC_000915.1	564801	565087
SRR072233.4206	489nt	5.2e-96	198	214	17	-	98.51%	NC_000915.1	1130941	1131141
SRR072233.4212	526nt	4.5e-212	408	449	42	-	98.54%	NC_000915.1	1633609	1634019
SRR072233.4448	412nt	3.1e-190	361	361	1	-	99.18%	NC_000915.1	1499729	1500092
