Name,ReadName,ReadLength,AlignmentLength,Identity,I_Begin
rhodobacter_sphaeroides,SRR072233.67,320nt,123,97.60,1786452
rhodobacter_sphaeroides,SRR072233.199,171nt,81,94.05,1908741
rhodobacter_sphaeroides,SRR072233.257,542nt,54,100.00,70894
rhodobacter_sphaeroides,SRR072233.323,375nt,315,90.91,752077
rhodobacter_sphaeroides,SRR072233.483,409nt,223,98.21,353490
rhodobacter_sphaeroides,SRR072233.640,385nt,337,100.00,192996
rhodobacter_sphaeroides,SRR072233.702,480nt,460,100.00,2524961
rhodobacter_sphaeroides,SRR072233.737,461nt,350,99.71,746588
rhodobacter_sphaeroides,SRR072233.791,469nt,70,100.00,71243
rhodobacter_sphaeroides,SRR072233.952,480nt,459,100.00,2524962
rhodobacter_sphaeroides,SRR072233.978,646nt,51,98.04,1743891
rhodobacter_sphaeroides,SRR072233.1036,472nt,472,99.79,705997
rhodobacter_sphaeroides,SRR072233.1050,412nt,294,98.98,188189
rhodobacter_sphaeroides,SRR072233.1077,467nt,414,99.76,29410
rhodobacter_sphaeroides,SRR072233.1097,474nt,61,98.39,24007
rhodobacter_sphaeroides,SRR072233.1161,495nt,495,98.99,874516
rhodobacter_sphaeroides,SRR072233.1171,1062nt,61,100.00,2023152
rhodobacter_sphaeroides,SRR072233.1223,372nt,303,100.00,955159
rhodobacter_sphaeroides,SRR072233.1241,484nt,434,100.00,899098
rhodobacter_sphaeroides,SRR072233.1277,706nt,111,99.11,547976
rhodobacter_sphaeroides,SRR072233.1547,484nt,436,99.31,4408
rhodobacter_sphaeroides,SRR072233.1547,484nt,436,99.31,4410
rhodobacter_sphaeroides,SRR072233.1547,484nt,436,99.08,38083
rhodobacter_sphaeroides,SRR072233.1560,365nt,100,97.00,689074
rhodobacter_sphaeroides,SRR072233.1702,375nt,151,99.34,1509229
rhodobacter_sphaeroides,SRR072233.1837,273nt,217,100.00,1120847
rhodobacter_sphaeroides,SRR072233.1886,501nt,445,99.33,84971
rhodobacter_sphaeroides,SRR072233.1955,384nt,327,97.27,2693571
rhodobacter_sphaeroides,SRR072233.2064,493nt,441,99.77,2495746
rhodobacter_sphaeroides,SRR072233.2128,543nt,271,100.00,2998290
rhodobacter_sphaeroides,SRR072233.2219,619nt,78,96.20,307894
rhodobacter_sphaeroides,SRR072233.2398,406nt,72,91.78,866
rhodobacter_sphaeroides,SRR072233.2398,406nt,72,91.78,868
rhodobacter_sphaeroides,SRR072233.2398,406nt,72,91.78,34541
rhodobacter_sphaeroides,SRR072233.2431,570nt,40,90.24,306122
rhodobacter_sphaeroides,SRR072233.2440,349nt,126,99.21,241146
rhodobacter_sphaeroides,SRR072233.2734,422nt,41,90.24,2916004
rhodobacter_sphaeroides,SRR072233.2786,491nt,491,99.80,2117159
rhodobacter_sphaeroides,SRR072233.2797,458nt,407,100.00,91002
rhodobacter_sphaeroides,SRR072233.2803,694nt,53,90.57,13
rhodobacter_sphaeroides,SRR072233.2803,694nt,53,90.57,33686
rhodobacter_sphaeroides,SRR072233.2803,694nt,53,90.57,13
rhodobacter_sphaeroides,SRR072233.2819,400nt,302,98.36,1152464
rhodobacter_sphaeroides,SRR072233.2850,117nt,69,95.65,2116963
rhodobacter_sphaeroides,SRR072233.2882,372nt,142,90.41,1126185
rhodobacter_sphaeroides,SRR072233.2892,446nt,394,99.49,626521
rhodobacter_sphaeroides,SRR072233.3148,352nt,306,100.00,1726320
rhodobacter_sphaeroides,SRR072233.3187,474nt,421,98.35,1005691
rhodobacter_sphaeroides,SRR072233.3246,358nt,229,98.69,37654
rhodobacter_sphaeroides,SRR072233.3424,467nt,414,100.00,408252
rhodobacter_sphaeroides,SRR072233.3434,482nt,448,99.78,13568
rhodobacter_sphaeroides,SRR072233.3646,540nt,371,92.02,1864532
rhodobacter_sphaeroides,SRR072233.3696,492nt,482,98.97,29977
rhodobacter_sphaeroides,SRR072233.3747,381nt,331,99.70,74782
rhodobacter_sphaeroides,SRR072233.3748,462nt,164,98.17,1934306
rhodobacter_sphaeroides,SRR072233.3778,514nt,473,99.79,52087
rhodobacter_sphaeroides,SRR072233.3790,446nt,393,99.24,1700715
rhodobacter_sphaeroides,SRR072233.3827,479nt,426,100.00,915725
rhodobacter_sphaeroides,SRR072233.3888,493nt,449,100.00,111099
rhodobacter_sphaeroides,SRR072233.4024,225nt,166,95.81,324669
rhodobacter_sphaeroides,SRR072233.4049,495nt,448,100.00,4231
rhodobacter_sphaeroides,SRR072233.4049,495nt,448,100.00,4233
rhodobacter_sphaeroides,SRR072233.4049,495nt,448,99.78,37906
rhodobacter_sphaeroides,SRR072233.4082,359nt,309,99.04,23933
rhodobacter_sphaeroides,SRR072233.4130,533nt,392,98.98,307704
rhodobacter_sphaeroides,SRR072233.4161,530nt,423,96.04,158964
rhodobacter_sphaeroides,SRR072233.4170,437nt,58,91.38,1270601
rhodobacter_sphaeroides,SRR072233.4179,717nt,45,100.00,1410228
rhodobacter_sphaeroides,SRR072233.4207,490nt,440,99.55,2591569
rhodobacter_sphaeroides,SRR072233.4253,480nt,428,99.30,77806
rhodobacter_sphaeroides,SRR072233.4415,338nt,55,100.00,1227703
rhodobacter_sphaeroides,SRR072233.4426,451nt,400,99.75,1694759
rhodobacter_sphaeroides,SRR072233.4427,442nt,392,100.00,372050
rhodobacter_sphaeroides,SRR072233.4427,442nt,392,100.00,35945
rhodobacter_sphaeroides,SRR072233.4427,442nt,392,97.21,377
rhodobacter_sphaeroides,SRR072233.4427,442nt,392,99.24,1435994
rhodobacter_sphaeroides,SRR072233.4427,442nt,392,100.00,699
rhodobacter_sphaeroides,SRR072233.4432,553nt,243,96.30,48600
rhodobacter_sphaeroides,SRR072233.4517,510nt,189,90.05,33883
rhodobacter_sphaeroides,SRR072233.4517,510nt,189,90.05,210
rhodobacter_sphaeroides,SRR072233.4538,491nt,470,99.79,2907277
rhodobacter_sphaeroides,SRR072233.4580,450nt,66,98.48,1435191
rhodobacter_sphaeroides,SRR072233.4580,450nt,62,100.00,105181
rhodobacter_sphaeroides,SRR072233.4580,450nt,331,100.00,72762
rhodobacter_sphaeroides,SRR072233.4580,450nt,62,100.00,91576
rhodobacter_sphaeroides,SRR072233.4580,450nt,62,100.00,1507
rhodobacter_sphaeroides,SRR072233.4580,450nt,62,100.00,373179
rhodobacter_sphaeroides,SRR072233.4597,441nt,394,99.49,56280
rhodobacter_sphaeroides,SRR072233.4603,542nt,291,100.00,1703336
rhodobacter_sphaeroides,SRR072233.4765,546nt,68,100.00,60900
rhodobacter_sphaeroides,SRR072233.4795,490nt,59,91.53,82414
rhodobacter_sphaeroides,SRR072233.4843,739nt,52,98.11,1693646
rhodobacter_sphaeroides,SRR072233.4930,425nt,372,100.00,505206
rhodobacter_sphaeroides,SRR072233.4980,322nt,273,98.90,864339
rhodobacter_sphaeroides,SRR072233.5040,722nt,64,92.19,1479304
rhodobacter_sphaeroides,SRR072233.5065,576nt,54,100.00,3131855
rhodobacter_sphaeroides,SRR072233.5089,468nt,231,98.70,678298
rhodobacter_sphaeroides,SRR072233.5163,704nt,56,100.00,85361
rhodobacter_sphaeroides,SRR072233.5219,487nt,437,100.00,31323
rhodobacter_sphaeroides,SRR072233.5241,453nt,402,100.00,31181
rhodobacter_sphaeroides,SRR072233.5248,574nt,86,100.00,3048231
rhodobacter_sphaeroides,SRR072233.5256,441nt,390,100.00,68238
rhodobacter_sphaeroides,SRR072233.5268,389nt,343,98.83,385554
rhodobacter_sphaeroides,SRR072233.5287,884nt,47,100.00,1398472
rhodobacter_sphaeroides,SRR072233.5387,506nt,492,99.59,1707129
rhodobacter_sphaeroides,SRR072233.5421,409nt,360,100.00,2240909
rhodobacter_sphaeroides,SRR072233.5422,174nt,68,100.00,1758869
rhodobacter_sphaeroides,SRR072233.5425,490nt,431,99.54,3108812
rhodobacter_sphaeroides,SRR072233.5482,501nt,445,99.55,5816
rhodobacter_sphaeroides,SRR072233.5625,394nt,342,99.71,2547014
rhodobacter_sphaeroides,SRR072233.5776,508nt,266,98.12,507218
rhodobacter_sphaeroides,SRR072233.5783,494nt,230,98.26,1306
rhodobacter_sphaeroides,SRR072233.5783,494nt,200,100.00,1436604
rhodobacter_sphaeroides,SRR072233.5783,494nt,428,98.60,35302
rhodobacter_sphaeroides,SRR072233.5783,494nt,376,99.47,100050
rhodobacter_sphaeroides,SRR072233.5783,494nt,263,98.48,72492
rhodobacter_sphaeroides,SRR072233.5783,494nt,200,100.00,371635
rhodobacter_sphaeroides,SRR072233.5783,494nt,161,100.00,1
rhodobacter_sphaeroides,SRR072233.5853,509nt,463,100.00,882955
rhodobacter_sphaeroides,SRR072233.5862,490nt,409,99.02,1115076
rhodobacter_sphaeroides,SRR072233.5872,508nt,461,99.57,322078
rhodobacter_sphaeroides,SRR072233.6017,507nt,455,98.69,2098374
rhodobacter_sphaeroides,SRR072233.6050,571nt,74,90.54,2361868
rhodobacter_sphaeroides,SRR072233.6135,537nt,537,99.63,28776
rhodobacter_sphaeroides,SRR072233.6135,537nt,68,94.20,25705
rhodobacter_sphaeroides,SRR072233.6158,445nt,397,100.00,73560
rhodobacter_sphaeroides,SRR072233.6273,327nt,237,100.00,452713
rhodobacter_sphaeroides,SRR072233.6333,511nt,457,99.78,49170
rhodobacter_sphaeroides,SRR072233.6365,500nt,460,98.92,631976
rhodobacter_sphaeroides,SRR072233.6426,585nt,265,93.28,1910672
rhodobacter_sphaeroides,SRR072233.6446,514nt,514,99.42,425990
rhodobacter_sphaeroides,SRR072233.6451,503nt,459,99.78,898064
rhodobacter_sphaeroides,SRR072233.6540,394nt,346,100.00,2189958
rhodobacter_sphaeroides,SRR072233.6590,403nt,215,98.16,2870617
rhodobacter_sphaeroides,SRR072233.6620,959nt,81,100.00,72967
rhodobacter_sphaeroides,SRR072233.6655,470nt,420,100.00,2023100
rhodobacter_sphaeroides,SRR072233.6688,504nt,371,98.93,74271
rhodobacter_sphaeroides,SRR072233.6737,516nt,463,99.35,40137
rhodobacter_sphaeroides,SRR072233.6738,457nt,407,99.75,1863150
rhodobacter_sphaeroides,SRR072233.6765,469nt,82,91.46,412757
rhodobacter_sphaeroides,SRR072233.6770,437nt,386,99.48,2594584
rhodobacter_sphaeroides,SRR072233.6771,518nt,71,91.55,1692
rhodobacter_sphaeroides,SRR072233.6771,518nt,71,91.55,1694
rhodobacter_sphaeroides,SRR072233.6771,518nt,71,91.55,35367
rhodobacter_sphaeroides,SRR072233.6771,518nt,61,90.16,704752
rhodobacter_sphaeroides,SRR072233.6781,406nt,356,100.00,98544
rhodobacter_sphaeroides,SRR072233.6804,478nt,412,99.76,59050
rhodobacter_sphaeroides,SRR072233.6816,515nt,184,96.76,1014168
rhodobacter_sphaeroides,SRR072233.6847,417nt,62,96.77,821967
rhodobacter_sphaeroides,SRR072233.6875,510nt,460,93.32,71653
rhodobacter_sphaeroides,SRR072233.7009,475nt,399,99.75,1133545
rhodobacter_sphaeroides,SRR072233.7051,691nt,112,99.12,79277
rhodobacter_sphaeroides,SRR072233.7290,400nt,352,99.72,943045
rhodobacter_sphaeroides,SRR072233.7303,438nt,382,99.74,9423
rhodobacter_sphaeroides,SRR072233.7313,494nt,440,99.32,82036
rhodobacter_sphaeroides,SRR072233.7473,492nt,298,91.42,1173472
rhodobacter_sphaeroides,SRR072233.7580,471nt,305,99.02,305356
rhodobacter_sphaeroides,SRR072233.7584,469nt,434,99.54,92561
rhodobacter_sphaeroides,SRR072233.7591,469nt,55,92.73,402649
rhodobacter_sphaeroides,SRR072233.7665,440nt,390,99.49,1922866
rhodobacter_sphaeroides,SRR072233.7703,475nt,436,99.09,32904
rhodobacter_sphaeroides,SRR072233.7802,453nt,54,92.59,1259784
rhodobacter_sphaeroides,SRR072233.7803,403nt,356,100.00,98544
rhodobacter_sphaeroides,SRR072233.7842,403nt,52,100.00,56023
rhodobacter_sphaeroides,SRR072233.7879,497nt,448,100.00,24963
rhodobacter_sphaeroides,SRR072233.7879,497nt,51,92.16,44322
rhodobacter_sphaeroides,SRR072233.7892,529nt,329,93.64,98051
rhodobacter_sphaeroides,SRR072233.7892,529nt,120,92.50,70507
rhodobacter_sphaeroides,SRR072233.7903,584nt,130,94.66,56726
rhodobacter_sphaeroides,SRR072233.7912,557nt,74,93.24,782496
rhodobacter_sphaeroides,SRR072233.7912,557nt,76,92.11,779809
rhodobacter_sphaeroides,SRR072233.7946,624nt,379,96.57,19762
rhodobacter_sphaeroides,SRR072233.7969,640nt,66,93.94,262
rhodobacter_sphaeroides,SRR072233.7969,640nt,66,93.94,264
rhodobacter_sphaeroides,SRR072233.7969,640nt,66,93.94,33937
rhodobacter_sphaeroides,SRR072233.8061,568nt,64,92.19,33681
rhodobacter_sphaeroides,SRR072233.8061,568nt,64,92.19,8
rhodobacter_sphaeroides,SRR072233.8061,568nt,64,92.19,8
rhodobacter_sphaeroides,SRR072233.8091,461nt,134,100.00,949206
rhodobacter_sphaeroides,SRR072233.8110,1066nt,80,100.00,2448486
rhodobacter_sphaeroides,SRR072233.8224,462nt,280,90.78,1801742
rhodobacter_sphaeroides,SRR072233.8279,460nt,399,99.75,1133545
rhodobacter_sphaeroides,SRR072233.8364,470nt,468,99.36,276088
rhodobacter_sphaeroides,SRR072233.8383,539nt,397,94.53,382757
rhodobacter_sphaeroides,SRR072233.8418,399nt,334,99.70,41920
rhodobacter_sphaeroides,SRR072233.8424,438nt,310,99.03,261384
rhodobacter_sphaeroides,SRR072233.8459,500nt,500,100.00,109351
rhodobacter_sphaeroides,SRR072233.8530,512nt,458,99.57,1427976
rhodobacter_sphaeroides,SRR072233.8572,386nt,333,100.00,2004331
rhodobacter_sphaeroides,SRR072233.8681,408nt,357,99.72,1722788
rhodobacter_sphaeroides,SRR072233.8851,580nt,99,100.00,416980
rhodobacter_sphaeroides,SRR072233.8979,531nt,260,100.00,98051
rhodobacter_sphaeroides,SRR072233.8979,531nt,119,93.28,70507
rhodobacter_sphaeroides,SRR072233.8991,505nt,505,99.41,1846794
rhodobacter_sphaeroides,SRR072233.8996,490nt,451,99.78,2988917
rhodobacter_sphaeroides,SRR072233.9066,355nt,311,99.68,1709369
rhodobacter_sphaeroides,SRR072233.9096,438nt,384,100.00,707281
rhodobacter_sphaeroides,SRR072233.9100,474nt,421,99.76,3094314
rhodobacter_sphaeroides,SRR072233.9182,867nt,74,95.95,271
rhodobacter_sphaeroides,SRR072233.9182,867nt,74,95.95,273
rhodobacter_sphaeroides,SRR072233.9182,867nt,74,95.95,33946
rhodobacter_sphaeroides,SRR072233.9335,520nt,189,100.00,818946
rhodobacter_sphaeroides,SRR072233.9352,452nt,404,100.00,29897
rhodobacter_sphaeroides,SRR072233.9381,473nt,56,96.43,27177
rhodobacter_sphaeroides,SRR072233.9390,441nt,395,99.49,2077134
rhodobacter_sphaeroides,SRR072233.9432,492nt,445,98.88,982424
rhodobacter_sphaeroides,SRR072233.9445,500nt,500,98.80,689514
rhodobacter_sphaeroides,SRR072233.9484,478nt,58,91.38,1270601
rhodobacter_sphaeroides,SRR072233.9524,455nt,73,91.89,864
rhodobacter_sphaeroides,SRR072233.9524,455nt,73,91.89,866
rhodobacter_sphaeroides,SRR072233.9524,455nt,73,91.89,34539
rhodobacter_sphaeroides,SRR072233.9589,487nt,487,99.79,65893
rhodobacter_sphaeroides,SRR072233.9589,487nt,351,98.01,90470
rhodobacter_sphaeroides,SRR072233.9652,398nt,349,100.00,1184108
rhodobacter_sphaeroides,SRR072233.9655,479nt,479,100.00,592754
