SRR072233.207	488nt	5.2e-239	441	1	441	+	99.55%	NC_003210.1	825170	825610
SRR072233.272	362nt	1.2e-138	285	32	316	+	97.92%	NC_003210.1	2028813	2029099
SRR072233.294	566nt	1.6e-79	173	218	46	-	97.71%	NC_003210.1	2382623	2382795
SRR072233.387	442nt	6.5e-26	78	300	223	-	93.59%	NC_003210.1	2437323	2437399
SRR072233.387	442nt	6.5e-26	78	300	223	-	93.59%	NC_003210.1	1741646	1741722
SRR072233.390	254nt	2.6e-53	122	125	4	-	96.80%	NC_003210.1	1676112	1676236
SRR072233.400	429nt	2.6e-181	359	359	1	-	98.62%	NC_003210.1	793970	794331
SRR072233.410	473nt	6.3e-190	367	432	66	-	98.65%	NC_003210.1	2353487	2353856
SRR072233.448	529nt	1.9e-242	480	1	480	+	98.55%	NC_003210.1	2447092	2447570
SRR072233.462	340nt	8.7e-110	222	293	72	-	98.67%	NC_003210.1	672493	672717
SRR072233.463	461nt	6.9e-212	399	415	17	-	99.25%	NC_003210.1	348690	349091
SRR072233.494	599nt	1.3e-76	174	174	1	-	97.71%	NC_003210.1	338485	338656
SRR072233.507	451nt	4.7e-213	402	402	1	-	99.26%	NC_003210.1	599476	599878
SRR072233.509	397nt	6.8e-126	284	284	1	-	95.45%	NC_003210.1	2551325	2551607
SRR072233.662	522nt	5.5e-146	364	88	451	+	92.88%	NC_003210.1	813320	813680
SRR072233.723	453nt	2.1e-193	367	403	37	-	99.19%	NC_003210.1	964931	965300
SRR072233.799	518nt	1.7e-246	468	1	468	+	99.15%	NC_003210.1	2742692	2743157
SRR072233.851	543nt	2.7e-230	498	38	535	+	94.58%	NC_003210.1	237763	238259
SRR072233.851	543nt	2.7e-230	498	38	535	+	94.58%	NC_003210.1	243784	244280
SRR072233.851	543nt	3.5e-233	535	535	1	-	93.46%	NC_003210.1	1747027	1747558
SRR072233.851	543nt	3.5e-233	535	535	1	-	93.46%	NC_003210.1	1852948	1853479
SRR072233.851	543nt	3.5e-233	535	535	1	-	93.46%	NC_003210.1	2442219	2442750
SRR072233.851	543nt	3.5e-233	535	535	1	-	93.46%	NC_003210.1	2677228	2677759
SRR072233.936	497nt	9.8e-241	438	438	1	-	99.77%	NC_003210.1	1722849	1723285
SRR072233.995	379nt	2.5e-177	334	1	334	+	99.11%	NC_003210.1	1211781	1212117
SRR072233.1031	412nt	1.3e-86	186	310	125	-	97.86%	NC_003210.1	1545839	1546022
SRR072233.1034	414nt	1.1e-187	358	1	358	+	99.17%	NC_003210.1	180118	180476
SRR072233.1037	586nt	2.5e-290	530	530	1	-	99.62%	NC_003210.1	2792577	2793106
SRR072233.1076	428nt	3.5e-143	301	1	301	+	98.03%	NC_003210.1	1651007	1651307
SRR072233.1103	362nt	4.2e-142	279	282	4	-	98.57%	NC_003210.1	1408766	1409044
SRR072233.1125	454nt	2.1e-193	394	1	394	+	97.49%	NC_003210.1	530962	531357
SRR072233.1245	266nt	2.1e-24	68	1	68	+	97.14%	NC_003210.1	269654	269723
SRR072233.1255	278nt	1.8e-58	134	159	26	-	96.35%	NC_003210.1	2309465	2309601
SRR072233.1258	544nt	9.0e-275	496	496	1	-	99.80%	NC_003210.1	2568744	2569240
SRR072233.1289	452nt	6.1e-216	409	409	1	-	99.03%	NC_003210.1	2419273	2419684
SRR072233.1343	433nt	2.1e-204	381	381	1	-	99.48%	NC_003210.1	874686	875066
SRR072233.1374	327nt	6.2e-122	247	30	276	+	97.60%	NC_003210.1	1251781	1252030
SRR072233.1410	313nt	1.7e-92	201	204	4	-	98.02%	NC_003210.1	2325299	2325497
SRR072233.1443	438nt	3.9e-206	385	385	1	-	99.22%	NC_003210.1	1304653	1305038
SRR072233.1510	427nt	1.1e-83	166	181	346	+	99.40%	NC_003210.1	75560	75724
SRR072233.1559	368nt	8.9e-99	206	40	245	+	97.62%	NC_003210.1	631918	632126
SRR072233.1612	447nt	1.4e-194	383	383	1	-	98.18%	NC_003210.1	77017	77398
SRR072233.1630	431nt	2.3e-159	329	335	7	-	97.89%	NC_003210.1	1136503	1136830
SRR072233.1650	114nt	7.7e-40	88	1	88	+	98.88%	NC_003210.1	201174	201262
SRR072233.1722	496nt	5.3e-239	449	1	449	+	99.33%	NC_003210.1	2721959	2722404
SRR072233.1723	346nt	3.4e-42	130	282	153	-	94.70%	NC_003210.1	880969	881096
SRR072233.1736	366nt	9.9e-121	242	243	2	-	98.35%	NC_003210.1	2656055	2656296
SRR072233.1804	513nt	2.2e-249	459	1	459	+	99.57%	NC_003210.1	813240	813698
SRR072233.1819	495nt	1.3e-16	43	45	3	-	100.00%	NC_003210.1	2452811	2452853
SRR072233.1929	434nt	3.5e-210	384	384	1	-	99.74%	NC_003210.1	1331987	1332371
