SRR072233.67	320nt	7.3e-52	123	1	123	+	97.60%	NC_007493.2	1786452	1786575
SRR072233.199	171nt	6.8e-28	81	1	81	+	94.05%	NC_007493.2	1908741	1908824
SRR072233.257	542nt	9.6e-23	54	54	1	-	100.00%	NC_007490.2	70894	70947
SRR072233.323	375nt	5.7e-109	315	321	7	-	90.91%	NC_007494.2	752077	752388
SRR072233.483	409nt	6.2e-109	223	223	1	-	98.21%	NC_007494.2	353490	353710
SRR072233.640	385nt	2.3e-186	337	337	1	-	100.00%	NC_007493.2	192996	193332
SRR072233.702	480nt	2.6e-257	460	1	460	+	100.00%	NC_007493.2	2524961	2525420
SRR072233.737	461nt	9.6e-190	350	411	62	-	99.71%	NC_007494.2	746588	746936
SRR072233.791	469nt	4.8e-32	70	70	1	-	100.00%	NC_007490.2	71243	71312
SRR072233.952	480nt	9.9e-257	459	1	459	+	100.00%	NC_007493.2	2524962	2525420
SRR072233.978	646nt	6.9e-17	51	2	52	+	98.04%	NC_007493.2	1743891	1743940
SRR072233.1036	472nt	3.3e-260	472	472	1	-	99.79%	NC_007494.2	705997	706467
SRR072233.1050	412nt	2.3e-149	294	294	1	-	98.98%	NC_007493.2	188189	188479
SRR072233.1077	467nt	2.8e-227	414	414	1	-	99.76%	NC_007490.2	29410	29824
SRR072233.1097	474nt	2.2e-23	61	61	1	-	98.39%	NC_007488.2	24007	24068
SRR072233.1161	495nt	7.2e-258	495	495	1	-	98.99%	NC_007494.2	874516	875007
SRR072233.1171	1062nt	1.7e-26	61	1	61	+	100.00%	NC_007493.2	2023152	2023212
SRR072233.1223	372nt	9.7e-167	303	303	1	-	100.00%	NC_007493.2	955159	955461
SRR072233.1241	484nt	2.8e-242	434	434	1	-	100.00%	NC_007493.2	899098	899531
SRR072233.1277	706nt	4.4e-52	111	1	111	+	99.11%	NC_007494.2	547976	548087
SRR072233.1547	484nt	6.9e-232	436	1	436	+	99.31%	NC_007493.2	4408	4842
SRR072233.1547	484nt	6.9e-232	436	1	436	+	99.31%	NC_007494.2	4410	4844
SRR072233.1547	484nt	7.6e-228	436	1	436	+	99.08%	NC_007494.2	38083	38516
SRR072233.1560	365nt	2.3e-37	100	68	167	+	97.00%	NC_007494.2	689074	689170
SRR072233.1702	375nt	6.8e-75	151	151	1	-	99.34%	NC_007493.2	1509229	1509378
SRR072233.1837	273nt	3.3e-117	217	217	1	-	100.00%	NC_007493.2	1120847	1121063
SRR072233.1886	501nt	4.5e-237	445	1	445	+	99.33%	NC_007494.2	84971	85414
SRR072233.1955	384nt	8.1e-149	327	327	1	-	97.27%	NC_007493.2	2693571	2693894
SRR072233.2064	493nt	2.8e-242	441	441	1	-	99.77%	NC_007493.2	2495746	2496185
SRR072233.2128	543nt	4.4e-148	271	1	271	+	100.00%	NC_007493.2	2998290	2998560
SRR072233.2219	619nt	5.4e-25	78	222	145	-	96.20%	NC_007493.2	307894	307970
SRR072233.2398	406nt	3.9e-21	72	78	7	-	91.78%	NC_007493.2	866	938
SRR072233.2398	406nt	3.9e-21	72	78	7	-	91.78%	NC_007494.2	868	940
